Variable name;NAME in BIG101-tooldata-cleaned;variable name in BIG101-surveyvariables
tool_profile_academia;Academia.edu;ACADEMIA
tool_review_ak;AcademicKarma;KARMA
tool_access_author;;MAILAUTH
tool_impact_altmet;Altmetric;ALTMETRIC
tool_archpub_arxiv;ArXiV;ARXIV
tool_write_authorea;Authorea;AUTHOREA
tool_share_benchfly;Benchfly;BENCHFLY
tool_share_benchling;Benchling ;BENCHLING
tool_archpub_biorxiv;BioRxiv;BIORXIV
tool_archcode_bitbucket;BitBucket;BITBUCK
tool_alert_browzine;Browzine;BROWZINE
tool_ref_citavi;Citavi;CITAVI
tool_pub_dataj;Biodiversity Data Journal;DATAJRNL
tool_archcode_dataverse;Dataverse Network (DVN) ;DATAVERSE
tool_access_deepdyve;Deepdyve;DEEPDYVE
tool_analysis_dhbox;DHbox;DHBOX
tool_access_other;;ACCESSOTHCL
tool_submit_doaj;DOAJ (Directory of Open Access Journals);DOAJ
tool_archcode_dryad;Dryad;DRYAD
tool_ref_endnote;EndNote;ENDNOTE
tool_analysis_excel;;EXCEL
tool_alert_f1000;F1000 prime;F1000PRI
tool_archpres_f1000;F1000 posters;F1000POS
tool_pub_f1000;F1000 research;F1000RES
tool_pop_famelab;Famelab;FAMELAB
tool_archcode_figshare;Figshare;FIGSDATA
tool_archpres_figshare;Figshare;FIGSPOST
tool_archcode_github;Github;GITHUB
tool_write_gdocs;Google Docs;GTDRIVE
tool_alert_gs;Google Scholar ;GSCHOLALERT
tool_search_gs;Google Scholar ;GSCHOLSEARCH
tool_profile_gsc;Google Scholar Citations;SCHOLARCIT
tool_impact_hpop;;HARZPOP
tool_access_other_orig;;ACCESSSPECCL
tool_read_hypothesis;Hypothes.is ;HYPOTHES
tool_archpub_isharewp;;WORKPAP
tool_read_iannotate;;IANNOTATE
tool_impact_is;ImpactStory;IMPSTOR
tool_access_institutional;;INSTACC
tool_archpub_institrepo;;INREP
tool_analysis_ipython;IPython Notebook;IPYTHON
tool_impact_jcr;Journal Impact Factor (JIF) in JCR;JCRIFIMP
tool_submit_jcr;Journal Impact Factor (JIF) in JCR;JCRIFSEL
tool_alert_toc;JournalTocs (previously TicTocs);JRNLTOCS
tool_submit_journalysis;Journalysis;JOURNALYS
tool_pop_kudos;Kudos (pubs claimen en promoten);KUDOS
tool_write_latex;LateX;LATEX
tool_analysis_matlab;;MATLAB
tool_pub_megaoa;;MEGAOA
tool_pub_megatrad;;MEGATRAD
tool_alert_mendeley;Mendeley;MENDALERT
tool_read_mendeley;Mendeley;MENDREAD
tool_ref_mendeley;Mendeley;MENDREF
tool_search_mendeley;Mendeley;MENDSEARCH
tool_analysis_other;;ANALYZOTHCL
tool_profile_msw;MyScienceWork;MYSCIWORK
tool_share_myexp;MyExperiment;MYEXP
tool_access_oabutton;Open Access button;OABUT
tool_share_osf;Open Science Framework ;OPSCIFRAM
tool_profile_orcid;ORCID;ORCID
tool_analysis_other_orig;;ANALYZSPECCL
tool_archcode_other;;DATAOTHCL
tool_archcode_other_orig;;DATASPECCL
tool_archpres_other;;POSTOTHCL
tool_archpres_other_orig;;POSTSPECCL
tool_archpub_other;;SHAREPUBOTHCL
tool_archpub_other_orig;;SHAREPUBSPECCL
tool_alert_other;;ALERTOTH
tool_alert_other_orig;;ALERTSPECCL
tool_impact_other;;IMPACTOTHCL
tool_impact_other_orig;;IMPACTSPECCL
tool_review_other;;PROTHCL
tool_review_other_orig;;PRSPECCL
tool_pop_other;;TELLOTHCL
tool_pop_other_orig;;TELLSPECCL
tool_pub_other;;PUBLOTHCL
tool_pub_other_orig;;PUBLSPECCL
tool_read_acro;;ACROBAT
tool_read_html;;HTMLVIEW
tool_read_other;;READOTHCL
tool_read_other_orig;;READSPECCL
tool_ref_other;;REFOTHCL
tool_ref_other_orig;;REFSPECCL
tool_profile_other;;RESPROFOTHCL
tool_profile_other_orig;;RESPROFSPECCL
tool_search_other_orig;;SEARCHSPECCL
tool_share_other;;NOTEOTHCL
tool_share_other_orig;;NOTESPECCL
tool_submit_other;;JRNLOTHCL
tool_submit_other_orig;;JRNLSPECCL
tool_write_word;;WORD
tool_write_other;;WRITEOTHCL
tool_write_other_orig;;WRITESPECCL
tool_write_overleaf;Overleaf ;OVERLEAF
tool_archcode_pangaea;Pangaea;PANGAEA
tool_review_papercritic;Paper Critic;PAPARCRIT
tool_search_paperity;Paperity;PAPERI
tool_ref_papers;;PAPERS
tool_access_ppv;;PAYVIEW
tool_review_pos;Peerageofscience;PERRSCI
tool_pop_pos;Pint of Science;PINTSCI
tool_impact_plos;PLoS Article-Level Metrics;PLOSALM
tool_profile_instit;;INSTPAGE
tool_share_protocolonline;Protocol online;PROTOCONL
tool_share_protocolsio;Protocols.io;PROTOCIO
tool_review_publons;Publons ;PUBLONS
tool_search_pubmed;PubMed;PUBMED
tool_archpub_pubmed;PMC (PubMed Central);PMC
tool_review_pubmed;PubMed Commons;PMCCOMMONS
tool_review_pubpeer;PubPeer ;PUBPEER
tool_submit_qoam;QOAM (Quality Open Access Market);QOAM
tool_analysis_r;;RTOOL
tool_analysis_ropen;ROpenSci;ROPENSCI
tool_read_readcube;Readcube;READCUBE
tool_ref_refme;RefME;REFME
tool_ref_refworks;RefWorks;REFWORKS
tool_alert_resgate;ResearchGate;RGATESHAREPUB
tool_access_res4life;Research4life (in 4 UN programmes HINARI- AGORA- AORE- ARDI);RES4LIFE
tool_pop_resblog;Research Blogging;RESBLOG
tool_profile_resid;ResearcherID;RESID
tool_access_resgate;ResearchGate;RGATEACCESS
tool_archpub_resgate;ResearchGate;RGATESHAREPUB
tool_profile_resgate;ResearchGate;RGATEPROF
tool_review_rubriq;Rubriq;RUBRIQ
tool_write_scalar;Scalar;SCALAR
tool_archpres_sop;Science Open Posters;SCIOPPO
tool_share_scipro;Scientific Protocols;SCIPROT
tool_submit_sci;SciMago Journal Rank;SCIMAGO
tool_impact_scopus;Scopus ;SCOPID
tool_search_scopus;Scopus ;SCOPSEARCH
tool_submit_scopus;Scopus ;SCOPSEL
tool_write_scrivener;Scrivener;SCRIVEN
tool_submit_sherpa;Sherpa/ROMEO;SHERPAROM
tool_archpres_slideshare;SlideShare;SLIDSHA
tool_alert_sparrho;Sparrho;SPARRHO
tool_archpres_speakerdeck;Speakerdeck;SPEAKER
tool_analysis_spss;;SPSS
tool_archpub_ssrn;SSRN;SSRN
tool_pub_topicoa;;JTOPOA
tool_pub_topictrad;;JTOPTRAD
tool_pop_twit;;TWITTER
tool_read_utopia;Utopiadocs;UTOPDOCS
tool_archpres_vimeo;;VIMEO
tool_impact_wos;Science Citation Index (Web of Science);WOSIMP
tool_search_wos;Science Citation Index (Web of Science);WOSSEARCH
tool_pop_wiki;Wikipedia (& Wikimedia Commons);WIKIPEDIA
tool_pub_winnower;;WINNOWER
tool_pop_wordpress;;WORDPRESS
tool_search_worldcat;WorldCat;WORLDCAT
tool_archcode_zenodo;Zenodo;ZENODATA
tool_archpres_zenodo;Zenodo;ZENOPOST
tool_ref_zotero;Zotero;ZOTERO
